Model,Class,Mean Dice,95% CI Lower,95% CI Upper,Std
cnn_4ch,overall,0.5921,0.5435,0.6386,0.1805
cnn_4ch,WT,0.5472,0.4894,0.6055,0.2220
cnn_4ch,TC,0.7338,0.6676,0.7970,0.2444
cnn_4ch,ET,0.4953,0.4178,0.5708,0.2862
unet_3ch_no_t1,overall,0.7802,0.7278,0.8285,0.1896
unet_3ch_no_t1,WT,0.8629,0.8287,0.8921,0.1200
unet_3ch_no_t1,TC,0.7945,0.7298,0.8537,0.2346
unet_3ch_no_t1,ET,0.6831,0.5980,0.7622,0.3103
unet_4ch,overall,0.7726,0.7191,0.8220,0.1948
unet_4ch,WT,0.8583,0.8241,0.8874,0.1210
unet_4ch,TC,0.7814,0.7104,0.8469,0.2559
unet_4ch,ET,0.6782,0.5901,0.7601,0.3217
unet_flair,overall,0.5946,0.5471,0.6401,0.1776
unet_flair,WT,0.8217,0.7816,0.8567,0.1431
unet_flair,TC,0.5968,0.5301,0.6602,0.2449
unet_flair,ET,0.3652,0.3036,0.4249,0.2327
unet_flair_t1ce,overall,0.7725,0.7214,0.8198,0.1851
unet_flair_t1ce,WT,0.8604,0.8297,0.8869,0.1087
unet_flair_t1ce,TC,0.7815,0.7144,0.8436,0.2447
unet_flair_t1ce,ET,0.6755,0.5893,0.7555,0.3125
unet_flair_t2,overall,0.6235,0.5810,0.6647,0.1579
unet_flair_t2,WT,0.8591,0.8288,0.8860,0.1090
unet_flair_t2,TC,0.6337,0.5707,0.6942,0.2324
unet_flair_t2,ET,0.3776,0.3172,0.4380,0.2333
unet_t1,overall,0.5314,0.4809,0.5810,0.1911
unet_t1,WT,0.6454,0.5948,0.6917,0.1851
unet_t1,TC,0.5913,0.5212,0.6595,0.2618
unet_t1,ET,0.3575,0.2965,0.4174,0.2307
unet_t1_t1ce,overall,0.6698,0.6164,0.7198,0.1968
unet_t1_t1ce,WT,0.6561,0.6062,0.7026,0.1817
unet_t1_t1ce,TC,0.6753,0.6049,0.7427,0.2630
unet_t1_t1ce,ET,0.6781,0.5907,0.7575,0.3165
unet_t1ce,overall,0.7232,0.6697,0.7728,0.1946
unet_t1ce,WT,0.6997,0.6432,0.7520,0.2074
unet_t1ce,TC,0.7793,0.7138,0.8372,0.2326
unet_t1ce,ET,0.6906,0.6065,0.7654,0.3005
unet_t2,overall,0.6111,0.5645,0.6567,0.1736
unet_t2,WT,0.7749,0.7373,0.8095,0.1375
unet_t2,TC,0.6526,0.5894,0.7140,0.2354
unet_t2,ET,0.4059,0.3399,0.4711,0.2498
