Model A,Model B,Cohen's d,Magnitude
cnn_4ch,unet_3ch_no_t1,-1.4930,large
cnn_4ch,unet_4ch,-1.5180,large
cnn_4ch,unet_flair,-0.0201,negligible
cnn_4ch,unet_flair_t1ce,-1.5471,large
cnn_4ch,unet_flair_t2,-0.3325,small
cnn_4ch,unet_t1,0.4408,small
cnn_4ch,unet_t1_t1ce,-0.5314,medium
cnn_4ch,unet_t1ce,-0.8160,large
cnn_4ch,unet_t2,-0.1843,negligible
unet_3ch_no_t1,unet_4ch,0.1271,negligible
unet_3ch_no_t1,unet_flair,1.4456,large
unet_3ch_no_t1,unet_flair_t1ce,0.1404,negligible
unet_3ch_no_t1,unet_flair_t2,1.4114,large
unet_3ch_no_t1,unet_t1,1.9964,large
unet_3ch_no_t1,unet_t1_t1ce,1.0885,large
unet_3ch_no_t1,unet_t1ce,0.6950,medium
unet_3ch_no_t1,unet_t2,1.4150,large
unet_4ch,unet_flair,1.4394,large
unet_4ch,unet_flair_t1ce,0.0024,negligible
unet_4ch,unet_flair_t2,1.2938,large
unet_4ch,unet_t1,1.9059,large
unet_4ch,unet_t1_t1ce,0.9887,large
unet_4ch,unet_t1ce,0.4986,small
unet_4ch,unet_t2,1.2239,large
unet_flair,unet_flair_t1ce,-1.3935,large
unet_flair,unet_flair_t2,-0.3377,small
unet_flair,unet_t1,0.4368,small
unet_flair,unet_t1_t1ce,-0.5272,medium
unet_flair,unet_t1ce,-0.8305,large
unet_flair,unet_t2,-0.1281,negligible
unet_flair_t1ce,unet_flair_t2,1.3094,large
unet_flair_t1ce,unet_t1,1.9126,large
unet_flair_t1ce,unet_t1_t1ce,1.0109,large
unet_flair_t1ce,unet_t1ce,0.5626,medium
unet_flair_t1ce,unet_t2,1.2286,large
unet_flair_t2,unet_t1,0.7428,medium
unet_flair_t2,unet_t1_t1ce,-0.3504,small
unet_flair_t2,unet_t1ce,-0.7025,medium
unet_flair_t2,unet_t2,0.1658,negligible
unet_t1,unet_t1_t1ce,-0.9499,large
unet_t1,unet_t1ce,-1.4728,large
unet_t1,unet_t2,-0.5626,medium
unet_t1_t1ce,unet_t1ce,-0.4611,small
unet_t1_t1ce,unet_t2,0.4297,small
unet_t1ce,unet_t2,0.7748,medium
